month,business_unit,total_cost,is_prediction
2025-11,Infrastructure Svcs-JSM,565125.8452380951,True
2025-12,Infrastructure Svcs-JSM,602235.3214285714,True
2025-01,Engineering-Teamwork Graph_COGS,288773.0,False
2025-02,Engineering-Teamwork Graph_COGS,326968.0,False
2025-03,Engineering-Teamwork Graph_COGS,517927.0,False
2025-04,Engineering-Teamwork Graph_COGS,593421.0,False
2025-05,Engineering-Teamwork Graph_COGS,642570.0,False
2025-06,Engineering-Teamwork Graph_COGS,613569.0,False
2025-07,Engineering-Teamwork Graph_COGS,662717.0,False
2025-08,Engineering-Teamwork Graph_COGS,687053.0,False
2025-09,Engineering-Teamwork Graph_COGS,798916.5357142854,True
2025-10,Engineering-Teamwork Graph_COGS,856092.4880952379,True
2025-11,Engineering-Teamwork Graph_COGS,913268.4404761903,True
2025-12,Engineering-Teamwork Graph_COGS,970444.3928571425,True
2025-01,Infrastructure Svcs - Jira Issue Domain,60.0,False
2025-02,Infrastructure Svcs - Jira Issue Domain,56.0,False
2025-03,Infrastructure Svcs - Jira Issue Domain,63.0,False
2025-04,Infrastructure Svcs - Jira Issue Domain,61.0,False
2025-05,Infrastructure Svcs - Jira Issue Domain,63.0,False
2025-06,Infrastructure Svcs - Jira Issue Domain,62.0,False
2025-07,Infrastructure Svcs - Jira Issue Domain,59.0,False
2025-08,Infrastructure Svcs - Jira Issue Domain,51.0,False
2025-09,Infrastructure Svcs - Jira Issue Domain,48.889895631240975,True
2025-10,Infrastructure Svcs - Jira Issue Domain,46.36323307687198,True
2025-11,Infrastructure Svcs - Jira Issue Domain,43.836570522502974,True
2025-12,Infrastructure Svcs - Jira Issue Domain,41.30990796813397,True
2025-01,Atlassian Cloud Storage Engineering_COGS,111401.0,False
2025-02,Atlassian Cloud Storage Engineering_COGS,115861.0,False
2025-03,Atlassian Cloud Storage Engineering_COGS,138784.0,False
2025-04,Atlassian Cloud Storage Engineering_COGS,237896.0,False
2025-05,Atlassian Cloud Storage Engineering_COGS,282874.0,False
2025-06,Atlassian Cloud Storage Engineering_COGS,353385.0,False
2025-07,Atlassian Cloud Storage Engineering_COGS,473040.0,False
2025-08,Atlassian Cloud Storage Engineering_COGS,585929.0,False
2025-09,Atlassian Cloud Storage Engineering_COGS,597916.1785714284,True
2025-10,Atlassian Cloud Storage Engineering_COGS,666920.6071428569,True
2025-11,Atlassian Cloud Storage Engineering_COGS,735925.0357142856,True
2025-12,Atlassian Cloud Storage Engineering_COGS,804929.4642857141,True
2025-01,Engineering-Migrations & Data Portability COGS,175732.0,False
2025-02,Engineering-Migrations & Data Portability COGS,160648.0,False
2025-03,Engineering-Migrations & Data Portability COGS,189177.0,False
2025-04,Engineering-Migrations & Data Portability COGS,189602.0,False
2025-05,Engineering-Migrations & Data Portability COGS,225408.0,False
2025-06,Engineering-Migrations & Data Portability COGS,233991.0,False
2025-07,Engineering-Migrations & Data Portability COGS,230766.0,False
2025-08,Engineering-Migrations & Data Portability COGS,237215.0,False
2025-09,Engineering-Migrations & Data Portability COGS,256275.53571428568,True
2025-10,Engineering-Migrations & Data Portability COGS,267599.5714285714,True
2025-11,Engineering-Migrations & Data Portability COGS,278923.60714285716,True
2025-12,Engineering-Migrations & Data Portability COGS,290247.64285714284,True
2025-01,Eng-Growth-Platform_COGS,106193.0,False
2025-02,Eng-Growth-Platform_COGS,109126.0,False
2025-03,Eng-Growth-Platform_COGS,126130.0,False
2025-04,Eng-Growth-Platform_COGS,190542.0,False
2025-05,Eng-Growth-Platform_COGS,363002.0,False
2025-06,Eng-Growth-Platform_COGS,232558.0,False
2025-07,Eng-Growth-Platform_COGS,306152.0,False
2025-08,Eng-Growth-Platform_COGS,347715.0,False
2025-09,Eng-Growth-Platform_COGS,392366.2499999999,True
2025-10,Eng-Growth-Platform_COGS,430074.91666666657,True
2025-11,Eng-Growth-Platform_COGS,467783.5833333332,True
2025-12,Eng-Growth-Platform_COGS,505492.2499999999,True
2025-01,Infrastructure Svcs-Jira,95969.0,False
2025-02,Infrastructure Svcs-Jira,98149.0,False
2025-03,Infrastructure Svcs-Jira,103542.0,False
2025-04,Infrastructure Svcs-Jira,104824.0,False
2025-05,Infrastructure Svcs-Jira,102732.0,False
2025-06,Infrastructure Svcs-Jira,88947.0,False
2025-07,Infrastructure Svcs-Jira,77415.0,False
2025-08,Infrastructure Svcs-Jira,78252.0,False
2025-09,Infrastructure Svcs-Jira,79073.42857142861,True
2025-10,Infrastructure Svcs-Jira,75816.69047619052,True
2025-11,Infrastructure Svcs-Jira,72559.95238095243,True
2025-12,Infrastructure Svcs-Jira,69303.21428571435,True
2025-01,Engineering - AVP COGS,9591.0,False
2025-02,Engineering - AVP COGS,8377.0,False
2025-03,Engineering - AVP COGS,9747.0,False
2025-04,Engineering - AVP COGS,10254.0,False
2025-05,Engineering - AVP COGS,11504.0,False
2025-06,Engineering - AVP COGS,10161.0,False
2025-07,Engineering - AVP COGS,10126.0,False
2025-08,Engineering - AVP COGS,11850.0,False
2025-09,Engineering - AVP COGS,11650.357142857143,True
2025-10,Engineering - AVP COGS,11972.380952380954,True
2025-11,Engineering - AVP COGS,12294.404761904763,True
2025-12,Engineering - AVP COGS,12616.428571428572,True
2025-01,Engineering Health - COGS,1064.0,False
2025-02,Engineering Health - COGS,1074.0,False
2025-03,Engineering Health - COGS,1263.0,False
2025-04,Engineering Health - COGS,1216.0,False
2025-05,Engineering Health - COGS,1298.0,False
2025-06,Engineering Health - COGS,1256.0,False
2025-07,Engineering Health - COGS,1235.0,False
2025-08,Engineering Health - COGS,1302.0,False
2025-09,Engineering Health - COGS,1349.142857142857,True
2025-10,Engineering Health - COGS,1379.2857142857142,True
2025-11,Engineering Health - COGS,1409.4285714285716,True
2025-12,Engineering Health - COGS,1439.5714285714287,True
2025-01,Atlassian Disaster Recovery - COGS,336.0,False
2025-02,Atlassian Disaster Recovery - COGS,305.0,False
2025-03,Atlassian Disaster Recovery - COGS,314.0,False
2025-04,Atlassian Disaster Recovery - COGS,307.0,False
2025-05,Atlassian Disaster Recovery - COGS,317.0,False
2025-06,Atlassian Disaster Recovery - COGS,307.0,False
2025-07,Atlassian Disaster Recovery - COGS,317.0,False
2025-08,Atlassian Disaster Recovery - COGS,316.0,False
2025-09,Atlassian Disaster Recovery - COGS,242.4225955464399,True
2025-10,Atlassian Disaster Recovery - COGS,223.1656013404799,True
2025-11,Atlassian Disaster Recovery - COGS,203.9086071345199,True
2025-12,Atlassian Disaster Recovery - COGS,184.65161292855987,True
2025-01,Eng-Admin Experience COGs,23362.0,False
2025-02,Eng-Admin Experience COGs,11002.0,False
2025-03,Eng-Admin Experience COGs,14517.0,False
2025-04,Eng-Admin Experience COGs,13189.0,False
2025-05,Eng-Admin Experience COGs,16377.0,False
2025-06,Eng-Admin Experience COGs,16719.0,False
2025-07,Eng-Admin Experience COGs,21173.0,False
2025-08,Eng-Admin Experience COGs,27884.0,False
2025-09,Eng-Admin Experience COGs,0.0,True
2025-10,Eng-Admin Experience COGs,0.0,True
2025-11,Eng-Admin Experience COGs,0.0,True
2025-12,Eng-Admin Experience COGs,0.0,True
2025-01,Data Engineering - COGS,800.0,False
2025-02,Data Engineering - COGS,760.0,False
2025-03,Data Engineering - COGS,819.0,False
2025-04,Data Engineering - COGS,798.0,False
2025-05,Data Engineering - COGS,839.0,False
2025-06,Data Engineering - COGS,820.0,False
2025-07,Data Engineering - COGS,886.0,False
2025-08,Data Engineering - COGS,922.0,False
2025-09,Data Engineering - COGS,912.3571428571428,True
